13200,16495,0
13300,16620,0.035714
13400,16745,0
13500,16870,0
13600,16995,0.035714
13700,17120,0
13800,17245,0
13900,17370,0
14000,17495,0
14100,17620,0
14200,17745,0
14300,17870,0.035714
14400,17995,0
14500,18120,0
14600,18245,0.035714
14700,18370,0
14800,18495,0
14900,18620,0
15000,18745,0
15100,18870,0
15200,18995,0.035714
15300,19120,0.035714
15400,19245,0
15500,19370,0
15600,19495,0
15700,19620,0
15800,19745,0
15900,19870,0.035714
16000,19995,0
16100,20120,0.035714
16200,20245,0
16300,20370,0.035714
16400,20495,0.035714
16500,20620,0
16600,20745,0
16700,20870,0
16800,20995,0
16900,21120,0
17000,21245,0
17100,21370,0.035714
17200,21495,0
17300,21620,0.035714
17400,21745,0.035714
17500,21870,0.035714
17600,21995,0
17700,22120,0.035714
17800,22245,0.035714
17900,22370,0
18000,22495,0.035714
18100,22620,0
18200,22745,0.035714
18300,22870,0.035714
18400,22995,0
18500,23120,0
18600,23245,0.035714
18700,23370,0.035714
18800,23495,0
18900,23620,0
19000,23745,0.035714
19100,23870,0.035714
19200,23995,0
19300,24120,0.035714
19400,24245,0.035714
19500,24370,0
19600,24495,0
19700,24620,0.035714
19800,24745,0.035714
19900,24870,0.035714
20000,24995,0
20100,25120,0.035714
20200,25245,0.035714
20300,25370,0.035714
20400,25495,0.035714
20500,25620,0.035714
20600,25745,0
20700,25870,0
20800,25995,0.035714
20900,26120,0.035714
21000,26245,0.035714
21100,26370,0.035714
21200,26495,0.035714
21300,26620,0.035714
21400,26745,0.035714
21500,26870,0
21600,26995,0
21700,27120,0
21800,27245,0.035714
21900,27370,0.035714
22000,27495,0.035714
22100,27620,0.035714
22200,27745,0.035714
22300,27870,0.035714
22400,27995,0.035714
22500,28120,0.035714
22600,28245,0.035714
22700,28370,0.035714
22800,28495,0.035714
22900,28620,0.035714
23000,28745,0.035714
23100,28870,0.071429
23200,28995,0.071429
23300,29120,0.035714
23400,29245,0.035714
23500,29370,0.035714
23600,29495,0.035714
23700,29620,0.035714
23800,29745,0.035714
23900,29870,0.071429
24000,29995,0.071429
24100,30120,0.107143
24200,30245,0.107143
24300,30370,0.071429
24400,30495,0.071429
24500,30620,0.178571
24600,30745,0.107143
24700,30870,0.035714
24800,30995,0.071429
24900,31120,0.107143
25000,31245,0.071429
25100,31370,0.035714
25200,31495,0.071429
25300,31620,0.071429
25400,31745,0.035714
25500,31870,0.071429
25600,31995,0.071429
25700,32120,0.071429
25800,32245,0.071429
25900,32370,0.071429
26000,32495,0.035714
26100,32620,0.035714
26200,32745,0.071429
26300,32870,0.035714
26400,32995,0.035714
26500,33120,0.071429
26600,33245,0.071429
26700,33370,0.035714
